ClassID,LoadedFrom,FileName,ClassName,LogLevel,ClassHash,ClassLoaderID
0,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/ForkedBooter,org/apache/maven/surefire/booter/ForkedBooter,Normal,60025bf0cb87611c1426f280e21d3fbe8c52a4d8,Loader@6a6824be:org/apache/maven/surefire/booter/ForkedBooter
1,file:/root/.m2/repository/org/apache/maven/surefire/surefire-api/3.1.0/surefire-api-3.1.0.jar,org/apache/maven/surefire/api/fork/ForkNodeArguments,org/apache/maven/surefire/api/fork/ForkNodeArguments,Normal,aadae59fcee4277eaa06b22dfec05ae2808b022b,Loader@6a6824be:org/apache/maven/surefire/api/fork/ForkNodeArguments
2,file:/root/.m2/repository/org/apache/maven/surefire/surefire-logger-api/3.1.0/surefire-logger-api-3.1.0.jar,org/apache/maven/plugin/surefire/log/api/ConsoleLogger,org/apache/maven/plugin/surefire/log/api/ConsoleLogger,Normal,483e2aa5232fa958a3a1a227fd8c788eeb2815ae,Loader@6a6824be:org/apache/maven/plugin/surefire/log/api/ConsoleLogger
3,file:/root/.m2/repository/org/apache/maven/surefire/surefire-api/3.1.0/surefire-api-3.1.0.jar,org/apache/maven/surefire/api/report/ReporterFactory,org/apache/maven/surefire/api/report/ReporterFactory,Normal,b7092e9612bafd374d1e86e59452e8c6d10d4ef0,Loader@6a6824be:org/apache/maven/surefire/api/report/ReporterFactory
4,file:/root/.m2/repository/org/apache/maven/surefire/surefire-api/3.1.0/surefire-api-3.1.0.jar,org/apache/maven/surefire/api/provider/CommandChainReader,org/apache/maven/surefire/api/provider/CommandChainReader,Normal,56c05eadd45b16f87559858e9400dd2e548acda2,Loader@6a6824be:org/apache/maven/surefire/api/provider/CommandChainReader
5,file:/root/.m2/repository/org/apache/maven/surefire/surefire-api/3.1.0/surefire-api-3.1.0.jar,org/apache/maven/surefire/api/provider/CommandListener,org/apache/maven/surefire/api/provider/CommandListener,Normal,334d99571fb4f43d96f7ca871b6c142bea65bb48,Loader@6a6824be:org/apache/maven/surefire/api/provider/CommandListener
6,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/BooterDeserializer,org/apache/maven/surefire/booter/BooterDeserializer,Normal,63c920599bda161b8824d22c0fe38c613cff6cd2,Loader@6a6824be:org/apache/maven/surefire/booter/BooterDeserializer
7,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/SystemPropertyManager,org/apache/maven/surefire/booter/SystemPropertyManager,Normal,8d6ddc4a164040161a9c3d8a209028595d3f4f20,Loader@6a6824be:org/apache/maven/surefire/booter/SystemPropertyManager
8,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/PropertiesWrapper,org/apache/maven/surefire/booter/PropertiesWrapper,Normal,466010ac90bc420af9b454d6e14cbb0913a836bd,Loader@6a6824be:org/apache/maven/surefire/booter/PropertiesWrapper
9,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/KeyValueSource,org/apache/maven/surefire/booter/KeyValueSource,Normal,8a96789885e6dfda512c4ff20cece55fe18d2b1c,Loader@6a6824be:org/apache/maven/surefire/booter/KeyValueSource
10,file:/root/.m2/repository/org/apache/maven/surefire/surefire-booter/3.1.0/surefire-booter-3.1.0.jar,org/apache/maven/surefire/booter/TypeEncodedValue,org/apache/maven/surefire/booter/TypeEncodedValue,Normal,15cf90946a08ecac55c249dbbe888e306c728201,Loader@6a6824be:org/apache/maven/surefire/booter/TypeEncodedValue
11,file:/root/.m2/repository/org/apache/maven/surefire/surefire-api/3.1.0/surefire-api-3.1.0.jar,org/apache/maven/surefire/api/testset/DirectoryScannerParameters,org/apache/maven/surefire/api/testset/DirectoryScannerParameters,Normal,04b5bd81ec2780b2c38fc20d1b1e9f644afbae38,Loader@6a6824be:org/apache/maven/surefire/api/testset/DirectoryScannerParameters
